 -28    2   20   (number of answers: 1), answers: [-10.0]
 -50    0   22    0    0   (number of answers: 1), answers: [0.0]
   0    0   84    0    0   (number of answers: 1), answers: [0.0]
  72    0   39    0    4   (number of answers: 0), answers: []
  -6    0    0    0    0infinite number of answers
 -17    0   14    0   21   (number of answers: 0), answers: []
  -4    0    2   (number of answers: 0), answers: []
   0    0   17   (number of answers: 0), answers: []
  18   -6    8   (number of answers: 1), answers: [1.3333333333333333]
 -26    0   20   (number of answers: 0), answers: []
 -63    0   25   (number of answers: 0), answers: []
 -21  -42    0   (number of answers: 1), answers: [-0.0]
 -24    0   38    0    0   (number of answers: 1), answers: [0.0]
   0    0    6    0   10   (number of answers: 0), answers: []
  15    0  -44    0  -16   (number of answers: 0), answers: []
  -1  -60   (number of answers: 1), answers: [-60.0]
   0   50   (number of answers: 0), answers: []
   0    0    0    0   51   (number of answers: 0), answers: []
  72    0   -1    0    0   (number of answers: 1), answers: [0.0]
 -19    0    0    0   92   (number of answers: 0), answers: []
  56    0   (number of answers: 1), answers: [0.0]
  30   30   (number of answers: 1), answers: [-1.0]
 -20  -24   (number of answers: 1), answers: [-1.2]
 -48  -63   (number of answers: 1), answers: [-1.3125]
  46   57   (number of answers: 1), answers: [-1.2391304347826086]
  69   64   (number of answers: 1), answers: [-0.927536231884058]
 -18    0  -18    0   28   (number of answers: 0), answers: []
 -64    0    0    0  -69   (number of answers: 0), answers: []
  48    0  -18    0  -48   (number of answers: 0), answers: []
  23  -36  -12   (number of answers: 1), answers: [-0.3333333333333333]
   9 -100   15   (number of answers: 1), answers: [0.15]
 -11   48    0   (number of answers: 1), answers: [0.0]
  16   10   (number of answers: 1), answers: [-0.625]
  52  -11   (number of answers: 1), answers: [0.21153846153846154]
   0    0  -23   (number of answers: 0), answers: []
  84    0  -69   (number of answers: 0), answers: []
   0   22    9   (number of answers: 1), answers: [-0.4090909090909091]
  -6  -48   (number of answers: 1), answers: [-8.0]
  42   -3   (number of answers: 1), answers: [0.07142857142857142]
-100    0   (number of answers: 1), answers: [-0.0]
   0  100   (number of answers: 0), answers: []
   0  -60   (number of answers: 0), answers: []
  -8  -96   (number of answers: 1), answers: [-12.0]
  66    0    0infinite number of answers
   0  -68  -20   (number of answers: 1), answers: [-0.29411764705882354]
   0    0  -24   (number of answers: 0), answers: []
  -3    0   10    0    6   (number of answers: 0), answers: []
  40    0  -10    0   -6   (number of answers: 0), answers: []
   0    0    0    0    5   (number of answers: 0), answers: []
   2    4   (number of answers: 1), answers: [-2.0]
   0   10   (number of answers: 0), answers: []
 -20    0   (number of answers: 1), answers: [-0.0]
  -6   20   (number of answers: 1), answers: [3.3333333333333335]
 -12    0   (number of answers: 1), answers: [-0.0]
   0    0infinite number of answers
  36    0    0infinite number of answers
   0    0    0infinite number of answers
  48   92    0   (number of answers: 1), answers: [0.0]
   0    0  -19    0   48   (number of answers: 0), answers: []
  12    0    0    0  -60   (number of answers: 0), answers: []
  57    0   -1    0   21   (number of answers: 0), answers: []
  -5    0  -28    0    0   (number of answers: 1), answers: [0.0]
   2    0  -18    0  -28   (number of answers: 0), answers: []
 -32    0    0    0    0infinite number of answers
   5    0  -68    0    1   (number of answers: 0), answers: []
  16    0   60    0  -69   (number of answers: 0), answers: []
 -32    0  -84    0  -28   (number of answers: 0), answers: []
   0   -1    0   (number of answers: 1), answers: [-0.0]
  12    0    9   (number of answers: 0), answers: []
  15  -22    0   (number of answers: 1), answers: [-0.0]
   0    0    2    0  -11   (number of answers: 0), answers: []
 -33    0    0    0    8   (number of answers: 0), answers: []
  -3    0 -100    0   34   (number of answers: 0), answers: []
   0  -38   (number of answers: 0), answers: []
  68   42   (number of answers: 1), answers: [-0.6176470588235294]
  11  -68   (number of answers: 1), answers: [6.181818181818182]
 -75    0   (number of answers: 1), answers: [-0.0]
  84    4   32   (number of answers: 1), answers: [-8.0]
  -1   25   12   (number of answers: 1), answers: [-0.48]
  18   28  -11   (number of answers: 1), answers: [0.39285714285714285]
 -48    0   48    0    0   (number of answers: 1), answers: [0.0]
  15    0    0    0    0infinite number of answers
  16    0   76    0  100   (number of answers: 0), answers: []
   0    0    0    0   24   (number of answers: 0), answers: []
 -51    0   20    0   -3   (number of answers: 0), answers: []
  34    0    0    0   -4   (number of answers: 0), answers: []
  36  -51  -14   (number of answers: 1), answers: [-0.27450980392156865]
   7  -16   72   (number of answers: 1), answers: [4.5]
 -75   30  -13   (number of answers: 1), answers: [0.43333333333333335]
   0   60    0   (number of answers: 1), answers: [0.0]
  -8  -15    0   (number of answers: 1), answers: [-0.0]
 -68  -13   66   (number of answers: 1), answers: [5.076923076923077]
 -18  100  -20   (number of answers: 1), answers: [0.2]
 -13   24  100   (number of answers: 1), answers: [-4.166666666666667]
   0  -21  -72   (number of answers: 1), answers: [-3.4285714285714284]
   0    0infinite number of answers
  60   -4   (number of answers: 1), answers: [0.06666666666666667]
 -21    0   45    0    0   (number of answers: 1), answers: [0.0]
   0    0  -28    0  -20   (number of answers: 0), answers: []
 -52    0   -2    0   72   (number of answers: 0), answers: []
  -4   22    0   (number of answers: 1), answers: [0.0]
 -40   21  -42   (number of answers: 1), answers: [2.0]
  25   96    6   (number of answers: 1), answers: [-0.0625]
   0    0   48    0    0   (number of answers: 1), answers: [0.0]
   5    0   56    0   39   (number of answers: 0), answers: []
  -4    0  -52    0    5   (number of answers: 0), answers: []
   0  -51   (number of answers: 0), answers: []
  64   48   (number of answers: 1), answers: [-0.75]
  48  -42   (number of answers: 1), answers: [0.875]
  28  -24   (number of answers: 1), answers: [0.8571428571428571]
 -18   14    0   (number of answers: 1), answers: [0.0]
 -60   20   -4   (number of answers: 1), answers: [0.2]
  -2  -36  -21   (number of answers: 1), answers: [-0.5833333333333334]
   0    0infinite number of answers
 -66   20   (number of answers: 1), answers: [0.30303030303030304]
  14    0   -9    0    0   (number of answers: 1), answers: [0.0]
 -92    0    0    0  -68   (number of answers: 0), answers: []
  15    0  -11    0  -20   (number of answers: 0), answers: []
 -20    0    8    0   10   (number of answers: 0), answers: []
 -20    0    0    0  -54   (number of answers: 0), answers: []
   0    0   24    0  -92   (number of answers: 0), answers: []
 -72    0    0    0   50   (number of answers: 0), answers: []
  75    0   16    0    0   (number of answers: 1), answers: [0.0]
 -24    0   -4    0  -33   (number of answers: 0), answers: []
   0   24    0   (number of answers: 1), answers: [0.0]
  48   -4   16   (number of answers: 1), answers: [4.0]
   4  -20  -69   (number of answers: 1), answers: [-3.45]
  24   12   30   (number of answers: 1), answers: [-2.5]
 -12    2  -34   (number of answers: 1), answers: [17.0]
  20  -39    0   (number of answers: 1), answers: [-0.0]
   5   -9   (number of answers: 1), answers: [1.8]
 -75  -20   (number of answers: 1), answers: [-0.26666666666666666]
   0    0   22    0  -18   (number of answers: 0), answers: []
  75    0  -13    0    9   (number of answers: 0), answers: []
  14    0    0    0    0infinite number of answers
  92   17   (number of answers: 1), answers: [-0.18478260869565216]
 -13   -9   (number of answers: 1), answers: [-0.6923076923076923]
 -66  -32   (number of answers: 1), answers: [-0.48484848484848486]
  56  -20   (number of answers: 1), answers: [0.35714285714285715]
  -8  -24   (number of answers: 1), answers: [-3.0]
  18   96   (number of answers: 1), answers: [-5.333333333333333]
   0    0    4    0  -60   (number of answers: 0), answers: []
  -4    0   76    0  -12   (number of answers: 0), answers: []
 -22    0   66    0   -2   (number of answers: 0), answers: []
  -4    0   68    0  -64   (number of answers: 0), answers: []
   0    0    0    0   60   (number of answers: 0), answers: []
  48    0    0    0   30   (number of answers: 0), answers: []
 -18  -66   (number of answers: 1), answers: [-3.6666666666666665]
  96   14   (number of answers: 1), answers: [-0.14583333333333334]
  42  -40   18   (number of answers: 1), answers: [0.45]
 -48   76  -36   (number of answers: 1), answers: [0.47368421052631576]
  22    0   34   (number of answers: 0), answers: []
   0    0   72   (number of answers: 0), answers: []
 -22   14    2   (number of answers: 1), answers: [-0.14285714285714285]
 -72  100  -36   (number of answers: 1), answers: [0.36]
  72    0  -48   (number of answers: 0), answers: []
 -60    0    0infinite number of answers
  44   28    0   (number of answers: 1), answers: [0.0]
 -24    0  -39    0  -19   (number of answers: 0), answers: []
  66    0   51    0  -20   (number of answers: 0), answers: []
   0    0   72    0  -16   (number of answers: 0), answers: []
 -14    0   60    0   30   (number of answers: 0), answers: []
  36    0    8    0   12   (number of answers: 0), answers: []
  -3    0  -21    0    9   (number of answers: 0), answers: []
 -34    0   33    0  -25   (number of answers: 0), answers: []
 -38    0   96    0   24   (number of answers: 0), answers: []
 -72    0   12    0  -32   (number of answers: 0), answers: []
 -32    0   20    0   57   (number of answers: 0), answers: []
  30    0  -24    0    0   (number of answers: 1), answers: [0.0]
  69    0  -72    0   68   (number of answers: 0), answers: []
 -48  -28   (number of answers: 1), answers: [-0.5833333333333334]
 -30    0   (number of answers: 1), answers: [-0.0]
  76   28   (number of answers: 1), answers: [-0.3684210526315789]
  -3   24   (number of answers: 1), answers: [8.0]
   0    0  -18    0    0   (number of answers: 1), answers: [0.0]
 -64    0   -5    0    0   (number of answers: 1), answers: [0.0]
 -38    0  -20    0   21   (number of answers: 0), answers: []
   0   30   (number of answers: 0), answers: []
   0   16   (number of answers: 0), answers: []
  17  -44   (number of answers: 1), answers: [2.588235294117647]
 -32    0   (number of answers: 1), answers: [-0.0]
  23    6  -51   (number of answers: 1), answers: [8.5]
 -11   -2  -30   (number of answers: 1), answers: [-15.0]
  -6    7    0   (number of answers: 1), answers: [0.0]
  80    0  -18    0  -28   (number of answers: 0), answers: []
 -30    0  -21    0   39   (number of answers: 0), answers: []
  18    0    0    0    0infinite number of answers
 -66  -17   (number of answers: 1), answers: [-0.25757575757575757]
  23    0   (number of answers: 1), answers: [0.0]
 -32    0    0    0    7   (number of answers: 0), answers: []
 -17    0    0    0   40   (number of answers: 0), answers: []
   0    0   15    0   72   (number of answers: 0), answers: []
 -21    0   84    0    1   (number of answers: 0), answers: []
  42    0  -30    0    0   (number of answers: 1), answers: [0.0]
  44    0   72    0  -25   (number of answers: 0), answers: []
 -12    3   (number of answers: 1), answers: [0.25]
 -18   33   (number of answers: 1), answers: [1.8333333333333333]
  40  -23   (number of answers: 1), answers: [0.575]
   0   13   (number of answers: 0), answers: []
   0  -30  -20   (number of answers: 1), answers: [-0.6666666666666666]
  10  -66   52   (number of answers: 1), answers: [0.7878787878787878]
   0    0    0infinite number of answers
  66    0   24    0    0   (number of answers: 1), answers: [0.0]
  20    0  -21    0  -40   (number of answers: 0), answers: []
   0    0    0    0    5   (number of answers: 0), answers: []
 -63    0    0    0  -38   (number of answers: 0), answers: []
  -6    0  -48    0  -63   (number of answers: 0), answers: []
 -12    0  -76    0   18   (number of answers: 0), answers: []
  16    0  -39    0  -15   (number of answers: 0), answers: []
   4    0    0    0    2   (number of answers: 0), answers: []
  32    0  -18    0    0   (number of answers: 1), answers: [0.0]
 100  -15   21   (number of answers: 1), answers: [1.4]
   0  -12    0   (number of answers: 1), answers: [-0.0]
   0   -3   21   (number of answers: 1), answers: [7.0]
   0   -3   (number of answers: 0), answers: []
 -46   96   (number of answers: 1), answers: [2.0869565217391304]
  16  -50   (number of answers: 1), answers: [3.125]
  63  -33   (number of answers: 1), answers: [0.5238095238095238]
  36  -34   (number of answers: 1), answers: [0.9444444444444444]
  48   -3   (number of answers: 1), answers: [0.0625]
  36    0    0infinite number of answers
  20    0  -80   (number of answers: 0), answers: []
 -28    0   -7   (number of answers: 0), answers: []
  36   88   57   (number of answers: 1), answers: [-0.6477272727272727]
   6   92   -5   (number of answers: 1), answers: [0.05434782608695652]
   0   42   32   (number of answers: 1), answers: [-0.7619047619047619]
  26   24   (number of answers: 1), answers: [-0.9230769230769231]
  15  -14   (number of answers: 1), answers: [0.9333333333333333]
  21  -11  -92   (number of answers: 1), answers: [-8.363636363636363]
  -2   18   14   (number of answers: 1), answers: [-0.7777777777777778]
  48    7  -68   (number of answers: 1), answers: [9.714285714285714]
 -20   40   (number of answers: 1), answers: [2.0]
  72    5   (number of answers: 1), answers: [-0.06944444444444445]
  -8   18   (number of answers: 1), answers: [2.25]
 -36  -11   (number of answers: 1), answers: [-0.3055555555555556]
  44  -16   (number of answers: 1), answers: [0.36363636363636365]
  18   15   (number of answers: 1), answers: [-0.8333333333333334]
 -15  -21   (number of answers: 1), answers: [-1.4]
  42  -46   (number of answers: 1), answers: [1.0952380952380953]
   0    0  -92    0    0   (number of answers: 1), answers: [0.0]
  24    0   63    0    0   (number of answers: 1), answers: [0.0]
   6    0    4    0  -66   (number of answers: 0), answers: []
 -51    0    1    0   -6   (number of answers: 0), answers: []
 -42    0   24    0   20   (number of answers: 0), answers: []
 -44    0  -75    0   64   (number of answers: 0), answers: []
   0    0   38    0  -18   (number of answers: 0), answers: []
 -18    0   12    0    0   (number of answers: 1), answers: [0.0]
 -16    0    0    0  -24   (number of answers: 0), answers: []
  17  -60   (number of answers: 1), answers: [3.5294117647058822]
  -7   14   (number of answers: 1), answers: [2.0]
   0   45   (number of answers: 0), answers: []
 -18   -2   (number of answers: 1), answers: [-0.1111111111111111]
 -56    6   -6   (number of answers: 1), answers: [1.0]
   0   30    0   (number of answers: 1), answers: [0.0]
   8  -48  -60   (number of answers: 1), answers: [-1.25]
   0  -24  -28   (number of answers: 1), answers: [-1.1666666666666667]
   6    0  -16   (number of answers: 0), answers: []
 -76  -28   64   (number of answers: 1), answers: [2.2857142857142856]
 -24    0   (number of answers: 1), answers: [-0.0]
  -6  -42   (number of answers: 1), answers: [-7.0]
 -39   -8   12   (number of answers: 1), answers: [1.5]
  48  -24   36   (number of answers: 1), answers: [1.5]
 -12    0  -66   (number of answers: 0), answers: []
  21  -45   50   (number of answers: 1), answers: [1.1111111111111112]
   0    0  -57   (number of answers: 0), answers: []
 -16   17    0   (number of answers: 1), answers: [0.0]
 -12    0   10    0    0   (number of answers: 1), answers: [0.0]
 -20    0    0    0   44   (number of answers: 0), answers: []
  24    0   -1    0    0   (number of answers: 1), answers: [0.0]
  50   52  -36   (number of answers: 1), answers: [0.6923076923076923]
 -26   60  -80   (number of answers: 1), answers: [1.3333333333333333]
   0   69  -38   (number of answers: 1), answers: [0.5507246376811594]
  -8    0    0    0   16   (number of answers: 0), answers: []
   0    0   -4    0  -16   (number of answers: 0), answers: []
  84    0  -32    0   38   (number of answers: 0), answers: []
 -24    0  -27    0   80   (number of answers: 0), answers: []
  12    0  -72    0   39   (number of answers: 0), answers: []
 -15    0  -32    0    0   (number of answers: 1), answers: [0.0]
   0  -30   (number of answers: 0), answers: []
 -36   34   (number of answers: 1), answers: [0.9444444444444444]
   0    0  -32   (number of answers: 0), answers: []
 -27   46    0   (number of answers: 1), answers: [0.0]
 -14    0    0infinite number of answers
 -33  -84   -6   (number of answers: 1), answers: [-0.07142857142857142]
  18   22    0   (number of answers: 1), answers: [0.0]
   0    0    0infinite number of answers
   0    0   22    0   -3   (number of answers: 0), answers: []
  15    0   50    0   30   (number of answers: 0), answers: []
 -12    0   -9    0    8   (number of answers: 0), answers: []
 -20    0   12    0  -36   (number of answers: 0), answers: []
  22    0  -69    0  -21   (number of answers: 0), answers: []
   8    0  -32    0   -6   (number of answers: 0), answers: []
  -2    0   (number of answers: 1), answers: [-0.0]
  36    0   (number of answers: 1), answers: [0.0]
  -3  -24    0   (number of answers: 1), answers: [-0.0]
  13  -60  -18   (number of answers: 1), answers: [-0.3]
  13   20   48   (number of answers: 1), answers: [-2.4]
   0    0    1    0  -52   (number of answers: 0), answers: []
  42    0   46    0    0   (number of answers: 1), answers: [0.0]
   6    0   18    0  -15   (number of answers: 0), answers: []
   5   20  -60   (number of answers: 1), answers: [3.0]
  50    0   54   (number of answers: 0), answers: []
 -48  -18  -26   (number of answers: 1), answers: [-1.4444444444444444]
  18  -84   (number of answers: 1), answers: [4.666666666666667]
 -54   22   (number of answers: 1), answers: [0.4074074074074074]
  44   12  -18   (number of answers: 1), answers: [1.5]
 -40    0    2   (number of answers: 0), answers: []
  64   76  -92   (number of answers: 1), answers: [1.2105263157894737]
   6    0    6    0   33   (number of answers: 0), answers: []
  48    0    0    0   18   (number of answers: 0), answers: []
 -63    0  -24    0   16   (number of answers: 0), answers: []
   0    0    0    0    0infinite number of answers
  75    0  -96    0  -13   (number of answers: 0), answers: []
  -2    0   19    0  -16   (number of answers: 0), answers: []
   0    0   21    0   36   (number of answers: 0), answers: []
 -54    0    0    0   50   (number of answers: 0), answers: []
   0    0  -18    0  -24   (number of answers: 0), answers: []
  66    0   57    0   -6   (number of answers: 0), answers: []
  64    0   22    0  -10   (number of answers: 0), answers: []
   0    0  -24    0   18   (number of answers: 0), answers: []
  72    0  -45    0  -15   (number of answers: 0), answers: []
  75    0  -63    0   63   (number of answers: 0), answers: []
   5    0   -9    0   36   (number of answers: 0), answers: []
   0    0   66   (number of answers: 0), answers: []
  22    0   23   (number of answers: 0), answers: []
   0   14    0   (number of answers: 1), answers: [0.0]
   6    0  -15    0   18   (number of answers: 0), answers: []
 -13    0  -19    0   39   (number of answers: 0), answers: []
  11    0   36    0   -4   (number of answers: 0), answers: []
  11    0    0    0    0infinite number of answers
   0    0   28    0  -75   (number of answers: 0), answers: []
  18    0  -39    0   32   (number of answers: 0), answers: []
 -12   24   (number of answers: 1), answers: [2.0]
  24    0   (number of answers: 1), answers: [0.0]
  48   24   17   (number of answers: 1), answers: [-0.7083333333333334]
   6  -40  -60   (number of answers: 1), answers: [-1.5]
   9    9   44   (number of answers: 1), answers: [-4.888888888888889]
  20   38   84   (number of answers: 1), answers: [-2.210526315789474]
   6   44    3   (number of answers: 1), answers: [-0.06818181818181818]
  -2  -27   -6   (number of answers: 1), answers: [-0.2222222222222222]
 -26  -32   34   (number of answers: 1), answers: [1.0625]
   8    0  -52   (number of answers: 0), answers: []
 -19  -38  -28   (number of answers: 1), answers: [-0.7368421052631579]
 -44    0  -66    0    0   (number of answers: 1), answers: [0.0]
  -8    0    4    0  -24   (number of answers: 0), answers: []
  75    0   50    0    0   (number of answers: 1), answers: [0.0]
 -48  -24  -34   (number of answers: 1), answers: [-1.4166666666666667]
  -5  -24    0   (number of answers: 1), answers: [-0.0]
   0  -32   60   (number of answers: 1), answers: [1.875]
   0    9   20   (number of answers: 1), answers: [-2.2222222222222223]
   4    0    4   (number of answers: 0), answers: []
 -54  -32  -20   (number of answers: 1), answers: [-0.625]
 -72    0    0    0    8   (number of answers: 0), answers: []
 -75    0    0    0    7   (number of answers: 0), answers: []
  12    0  -36    0   -5   (number of answers: 0), answers: []
  -4  -22   (number of answers: 1), answers: [-5.5]
 -16  -22   (number of answers: 1), answers: [-1.375]
  50   -8   12   (number of answers: 1), answers: [1.5]
 -16  -64    0   (number of answers: 1), answers: [-0.0]
  72  -44   32   (number of answers: 1), answers: [0.7272727272727273]
   0    0    0infinite number of answers
  24   -1    8   (number of answers: 1), answers: [8.0]
   0   18    0   (number of answers: 1), answers: [0.0]
 -48    0   (number of answers: 1), answers: [-0.0]
 -14    0   (number of answers: 1), answers: [-0.0]
  12    0   11    0    0   (number of answers: 1), answers: [0.0]
 -44    0  -27    0    0   (number of answers: 1), answers: [0.0]
  32    0   14    0    0   (number of answers: 1), answers: [0.0]
   0   -7   (number of answers: 0), answers: []
   0  -32   (number of answers: 0), answers: []
   7    0   18    0   96   (number of answers: 0), answers: []
  80    0   24    0    8   (number of answers: 0), answers: []
  -8    0   57    0   -2   (number of answers: 0), answers: []
 -32    0   22   (number of answers: 0), answers: []
  88  -13  -48   (number of answers: 1), answers: [-3.6923076923076925]
  68  -48  -46   (number of answers: 1), answers: [-0.9583333333333334]
   2  -38   (number of answers: 1), answers: [19.0]
  24  -22   (number of answers: 1), answers: [0.9166666666666666]
   0   24   (number of answers: 0), answers: []
 -12   13   (number of answers: 1), answers: [1.0833333333333333]
   0   18  100   (number of answers: 1), answers: [-5.555555555555555]
   4  -25   16   (number of answers: 1), answers: [0.64]
 -76    0   -3   (number of answers: 0), answers: []
 -22  -84  -88   (number of answers: 1), answers: [-1.0476190476190477]
  69    0   10   (number of answers: 0), answers: []
  24   10    8   (number of answers: 1), answers: [-0.8]
  21   57  -12   (number of answers: 1), answers: [0.21052631578947367]
 -44  -36    0   (number of answers: 1), answers: [-0.0]
  15    0  -11   (number of answers: 0), answers: []
   0    0   20    0    8   (number of answers: 0), answers: []
 -13    0  -44    0   30   (number of answers: 0), answers: []
  66    0    0    0   45   (number of answers: 0), answers: []
  -1    0   18    0  -14   (number of answers: 0), answers: []
 -16    0   -7    0   48   (number of answers: 0), answers: []
 -16    0   24    0  -60   (number of answers: 0), answers: []
 -30   40   (number of answers: 1), answers: [1.3333333333333333]
   0  -66   (number of answers: 0), answers: []
  27    0    0    0  -18   (number of answers: 0), answers: []
  14    0  -80    0   48   (number of answers: 0), answers: []
  18    0    0    0   39   (number of answers: 0), answers: []
 -12  -72  -28   (number of answers: 1), answers: [-0.3888888888888889]
  72    0    0infinite number of answers
   0   25    0   (number of answers: 1), answers: [0.0]
 -30    0    9    0   12   (number of answers: 0), answers: []
  40    0   18    0  -24   (number of answers: 0), answers: []
   0    0    0    0  -48   (number of answers: 0), answers: []
  24  -21   48   (number of answers: 1), answers: [2.2857142857142856]
   6   60   36   (number of answers: 1), answers: [-0.6]
 -24   36   -4   (number of answers: 1), answers: [0.1111111111111111]
   0  -40  -10   (number of answers: 1), answers: [-0.25]
  48   40   36   (number of answers: 1), answers: [-0.9]
   0    0   -8   (number of answers: 0), answers: []
 -18    0   68    0    0   (number of answers: 1), answers: [0.0]
  32    0  -15    0   24   (number of answers: 0), answers: []
   0    0  -51    0  -30   (number of answers: 0), answers: []
  50    0   (number of answers: 1), answers: [0.0]
 -22   -6   (number of answers: 1), answers: [-0.2727272727272727]
 -12  -30   48   (number of answers: 1), answers: [1.6]
  48  -60   -2   (number of answers: 1), answers: [-0.03333333333333333]
   9  -32   36   (number of answers: 1), answers: [1.125]
   0    0  -46    0    0   (number of answers: 1), answers: [0.0]
   0    0   10    0   96   (number of answers: 0), answers: []
 -50    0   28    0   -6   (number of answers: 0), answers: []
   0   10    0   (number of answers: 1), answers: [0.0]
  84    0  -48   (number of answers: 0), answers: []
  88  -40   50   (number of answers: 1), answers: [1.25]
  76   -8   (number of answers: 1), answers: [0.10526315789473684]
  28   44   (number of answers: 1), answers: [-1.5714285714285714]
  -8   -5   40   (number of answers: 1), answers: [8.0]
  28    0  -15   (number of answers: 0), answers: []
   0    0  -40   (number of answers: 0), answers: []
 -84    0   36   (number of answers: 0), answers: []
  32  -54  -28   (number of answers: 1), answers: [-0.5185185185185185]
 -56   19    0   (number of answers: 1), answers: [0.0]
  30    0   (number of answers: 1), answers: [0.0]
 -32    3   (number of answers: 1), answers: [0.09375]
 -48   -8   (number of answers: 1), answers: [-0.16666666666666666]
   0    0infinite number of answers
 -36    0   (number of answers: 1), answers: [-0.0]
  24   38   (number of answers: 1), answers: [-1.5833333333333333]
  16  -16   (number of answers: 1), answers: [1.0]
  36  -44   (number of answers: 1), answers: [1.2222222222222223]
   0    0  -92    0    0   (number of answers: 1), answers: [0.0]
 -92    0    6    0    9   (number of answers: 0), answers: []
 -54    0  -25    0   14   (number of answers: 0), answers: []
   0   63   (number of answers: 0), answers: []
 100    0   (number of answers: 1), answers: [0.0]
 -16    9   (number of answers: 1), answers: [0.5625]
   0    0infinite number of answers
   0    0   57    0    0   (number of answers: 1), answers: [0.0]
   2    0  -72    0   14   (number of answers: 0), answers: []
  52    0  -27    0  -39   (number of answers: 0), answers: []
  14   -6   (number of answers: 1), answers: [0.42857142857142855]
 -32    0   (number of answers: 1), answers: [-0.0]
  18    0    8    0  -60   (number of answers: 0), answers: []
 -27    0  -20    0  -30   (number of answers: 0), answers: []
   0    0   19    0  -15   (number of answers: 0), answers: []
  18    0   16    0  -76   (number of answers: 0), answers: []
  30    0    9    0    0   (number of answers: 1), answers: [0.0]
   4    0  -52    0    0   (number of answers: 1), answers: [0.0]
