   0  -21    8   (number of answers: 1), answers: [0.38095238095238093]
   2  -38   (number of answers: 1), answers: [19.0]
  12  100   (number of answers: 1), answers: [-8.333333333333334]
   0   39   72   (number of answers: 1), answers: [-1.8461538461538463]
   0  -69    0   (number of answers: 1), answers: [-0.0]
 -60   -4   22   (number of answers: 1), answers: [5.5]
  42   80   (number of answers: 1), answers: [-1.9047619047619047]
 -27    0   (number of answers: 1), answers: [-0.0]
 -12    8    0   (number of answers: 1), answers: [0.0]
  20   -8    0   (number of answers: 1), answers: [-0.0]
 -72  -13   68   (number of answers: 1), answers: [5.230769230769231]
  -5    0  -18    0   -3   (number of answers: 0), answers: []
   0    0  -10    0   52   (number of answers: 0), answers: []
  44    0  -22    0   42   (number of answers: 0), answers: []
  25  -28   (number of answers: 1), answers: [1.12]
   0    0infinite number of answers
 -21  -16  -10   (number of answers: 1), answers: [-0.625]
  18   63   56   (number of answers: 1), answers: [-0.8888888888888888]
   0    0   -9   (number of answers: 0), answers: []
   3  -25   (number of answers: 1), answers: [8.333333333333334]
 -12   16   (number of answers: 1), answers: [1.3333333333333333]
 -13    0  -48    0    5   (number of answers: 0), answers: []
  18    0   27    0    0   (number of answers: 1), answers: [0.0]
  84    0  -40    0  -28   (number of answers: 0), answers: []
 -12    0    0    0   22   (number of answers: 0), answers: []
 -22    0   -2    0  -36   (number of answers: 0), answers: []
   0    0  -84    0   92   (number of answers: 0), answers: []
 -25   17   (number of answers: 1), answers: [0.68]
 -45  -15   (number of answers: 1), answers: [-0.3333333333333333]
 -36   63   36   (number of answers: 1), answers: [-0.5714285714285714]
  20  -12  -12   (number of answers: 1), answers: [-1.0]
 -39   60    8   (number of answers: 1), answers: [-0.13333333333333333]
 -23  -15   (number of answers: 1), answers: [-0.6521739130434783]
   0   88   (number of answers: 0), answers: []
 -28    0    0    0    1   (number of answers: 0), answers: []
  96    0  -32    0    0   (number of answers: 1), answers: [0.0]
  46    0    0    0   10   (number of answers: 0), answers: []
  21  -54 -100   (number of answers: 1), answers: [-1.8518518518518519]
  44   36   52   (number of answers: 1), answers: [-1.4444444444444444]
   8  -36   -3   (number of answers: 1), answers: [-0.08333333333333333]
   0    0   30    0    4   (number of answers: 0), answers: []
 -72    0   56    0  -51   (number of answers: 0), answers: []
 -60    0  -25    0  -40   (number of answers: 0), answers: []
 -48    0    0    0   -9   (number of answers: 0), answers: []
   0    0  -19    0  -15   (number of answers: 0), answers: []
 -66    0   13    0   -3   (number of answers: 0), answers: []
 -15    0   36    0  -51   (number of answers: 0), answers: []
  48    0    0    0   -4   (number of answers: 0), answers: []
  12    0    2    0    0   (number of answers: 1), answers: [0.0]
   3  -12   (number of answers: 1), answers: [4.0]
  -2  -57   (number of answers: 1), answers: [-28.5]
   0    2   (number of answers: 0), answers: []
 -33    0   (number of answers: 1), answers: [-0.0]
  50    0  -12    0   48   (number of answers: 0), answers: []
   8    0  -68    0  -14   (number of answers: 0), answers: []
   0    0   33    0   19   (number of answers: 0), answers: []
  14    0   14    0    0   (number of answers: 1), answers: [0.0]
  68    0   45    0    0   (number of answers: 1), answers: [0.0]
 -30    0    0    0   12   (number of answers: 0), answers: []
  14  -10   (number of answers: 1), answers: [0.7142857142857143]
  21  -28   (number of answers: 1), answers: [1.3333333333333333]
 -63   36   (number of answers: 1), answers: [0.5714285714285714]
   0   -6   (number of answers: 0), answers: []
  10    9   (number of answers: 1), answers: [-0.9]
  76    3   (number of answers: 1), answers: [-0.039473684210526314]
 -34    0   -5    0  -22   (number of answers: 0), answers: []
  10    0    0    0   24   (number of answers: 0), answers: []
  30    0   26    0    5   (number of answers: 0), answers: []
 -92    0   76   (number of answers: 0), answers: []
   0   12   76   (number of answers: 1), answers: [-6.333333333333333]
   0  -69   51   (number of answers: 1), answers: [0.7391304347826086]
 -15  -14   (number of answers: 1), answers: [-0.9333333333333333]
-100   30   (number of answers: 1), answers: [0.3]
  10    6   24   (number of answers: 1), answers: [-4.0]
  60    0   88   (number of answers: 0), answers: []
  -6   45   20   (number of answers: 1), answers: [-0.4444444444444444]
  11    0   60    0    0   (number of answers: 1), answers: [0.0]
  75    0  -16    0    0   (number of answers: 1), answers: [0.0]
  -2    0   -8    0   44   (number of answers: 0), answers: []
 -68   -2   (number of answers: 1), answers: [-0.029411764705882353]
  -8  -22   (number of answers: 1), answers: [-2.75]
   0  -68   (number of answers: 0), answers: []
 -24   60   (number of answers: 1), answers: [2.5]
 -68    0   (number of answers: 1), answers: [-0.0]
  22   -4   (number of answers: 1), answers: [0.18181818181818182]
  20    0   64    0   64   (number of answers: 0), answers: []
  20    0    1    0  -11   (number of answers: 0), answers: []
 -24    0  -28    0    0   (number of answers: 1), answers: [0.0]
  -2   21  -30   (number of answers: 1), answers: [1.4285714285714286]
 -42   12    0   (number of answers: 1), answers: [0.0]
  21    0   12   (number of answers: 0), answers: []
  -2    2   (number of answers: 1), answers: [1.0]
  -7   45   (number of answers: 1), answers: [6.428571428571429]
  13  -30   (number of answers: 1), answers: [2.3076923076923075]
  44  -32   (number of answers: 1), answers: [0.7272727272727273]
   3  -15  -45   (number of answers: 1), answers: [-3.0]
   0    2   14   (number of answers: 1), answers: [-7.0]
  21   32    8   (number of answers: 1), answers: [-0.25]
 -16    0  -46    0   44   (number of answers: 0), answers: []
   6    0   -4    0  -50   (number of answers: 0), answers: []
  18    0   12    0    0   (number of answers: 1), answers: [0.0]
 -20    0   12   (number of answers: 0), answers: []
  18   40   12   (number of answers: 1), answers: [-0.3]
  14  -96   -4   (number of answers: 1), answers: [-0.041666666666666664]
   9    0   16    0   -4   (number of answers: 0), answers: []
  18    0    8    0   92   (number of answers: 0), answers: []
  48    0   22    0   96   (number of answers: 0), answers: []
  15  -24   (number of answers: 1), answers: [1.6]
  14   63   (number of answers: 1), answers: [-4.5]
   0   39   (number of answers: 0), answers: []
 -92   24   (number of answers: 1), answers: [0.2608695652173913]
   0   60    3   (number of answers: 1), answers: [-0.05]
  10  100  -52   (number of answers: 1), answers: [0.52]
  11  -92    0   (number of answers: 1), answers: [-0.0]
  21  -75   20   (number of answers: 1), answers: [0.26666666666666666]
   0    4   -6   (number of answers: 1), answers: [1.5]
  46  -44  -48   (number of answers: 1), answers: [-1.0909090909090908]
   0   45   27   (number of answers: 1), answers: [-0.6]
  14  -66   96   (number of answers: 1), answers: [1.4545454545454546]
 -28   10   24   (number of answers: 1), answers: [-2.4]
  45    0    0    0  -28   (number of answers: 0), answers: []
 -80    0  -21    0  -16   (number of answers: 0), answers: []
   0    0    0    0    0infinite number of answers
   0    0infinite number of answers
   0   76   (number of answers: 0), answers: []
 -12    0    0    0  -13   (number of answers: 0), answers: []
   0    0 -100    0   11   (number of answers: 0), answers: []
  63    0   -2    0   18   (number of answers: 0), answers: []
 -48    0    0    0  -72   (number of answers: 0), answers: []
 -18    0    6    0  -96   (number of answers: 0), answers: []
  92    0   21    0    0   (number of answers: 1), answers: [0.0]
  42  -50   (number of answers: 1), answers: [1.1904761904761905]
  34   10   (number of answers: 1), answers: [-0.29411764705882354]
  -9    0   80   (number of answers: 0), answers: []
 -22   -3    0   (number of answers: 1), answers: [-0.0]
   0   80   -5   (number of answers: 1), answers: [0.0625]
  72    0   10    0  -36   (number of answers: 0), answers: []
   0    0    0    0  -27   (number of answers: 0), answers: []
   0    0    0    0    4   (number of answers: 0), answers: []
 -40   -1   20   (number of answers: 1), answers: [20.0]
 -15  -88  -66   (number of answers: 1), answers: [-0.75]
 -21  -20    2   (number of answers: 1), answers: [0.1]
  -4    0    0infinite number of answers
  32    0   -9   (number of answers: 0), answers: []
  15   36    9   (number of answers: 1), answers: [-0.25]
   0  -10    0   (number of answers: 1), answers: [-0.0]
  52  -17   63   (number of answers: 1), answers: [3.7058823529411766]
  28  -76   16   (number of answers: 1), answers: [0.21052631578947367]
   0    0   -4    0   20   (number of answers: 0), answers: []
   6    0   24    0   16   (number of answers: 0), answers: []
   0    0   46    0    0   (number of answers: 1), answers: [0.0]
  24   36  -88   (number of answers: 1), answers: [2.4444444444444446]
  -1   36   -9   (number of answers: 1), answers: [0.25]
   0    7   12   (number of answers: 1), answers: [-1.7142857142857142]
  69    0  -48    0   44   (number of answers: 0), answers: []
  -6    0  -45    0  -38   (number of answers: 0), answers: []
   1    0   92    0    0   (number of answers: 1), answers: [0.0]
  16  -36    0   (number of answers: 1), answers: [-0.0]
  52    0  -19   (number of answers: 0), answers: []
  22    0    0infinite number of answers
  64    0  -39    0   45   (number of answers: 0), answers: []
 -24    0   52    0  -30   (number of answers: 0), answers: []
   0    0   48    0  -44   (number of answers: 0), answers: []
 -36    0    0    0   18   (number of answers: 0), answers: []
 -96    0  -60    0  -64   (number of answers: 0), answers: []
   0    0  -14    0   40   (number of answers: 0), answers: []
 -17    0   -9    0  -25   (number of answers: 0), answers: []
  20    0   34    0  -18   (number of answers: 0), answers: []
 -32    0    0    0   24   (number of answers: 0), answers: []
 -13  -20   (number of answers: 1), answers: [-1.5384615384615385]
 -64    0   (number of answers: 1), answers: [-0.0]
 -60  -80   (number of answers: 1), answers: [-1.3333333333333333]
  -1   69   (number of answers: 1), answers: [69.0]
 -20    0  -34    0   54   (number of answers: 0), answers: []
   0    0   28    0  -16   (number of answers: 0), answers: []
  11    0    0    0    0infinite number of answers
  12  -12   (number of answers: 1), answers: [1.0]
-100    0   (number of answers: 1), answers: [-0.0]
  -1   14   (number of answers: 1), answers: [14.0]
  21    0   (number of answers: 1), answers: [0.0]
 -51    0   -9    0  -68   (number of answers: 0), answers: []
  44    0  -64    0    0   (number of answers: 1), answers: [0.0]
   0    0   16    0   46   (number of answers: 0), answers: []
  88   88   72   (number of answers: 1), answers: [-0.8181818181818182]
  12   51    0   (number of answers: 1), answers: [0.0]
 -69   21    0   (number of answers: 1), answers: [0.0]
 -40    0   -4    0   12   (number of answers: 0), answers: []
  27    0  -19    0  -50   (number of answers: 0), answers: []
  25    0   44    0   -4   (number of answers: 0), answers: []
  23  -12    8   (number of answers: 1), answers: [0.6666666666666666]
 -12   63  -14   (number of answers: 1), answers: [0.2222222222222222]
   0   54  -45   (number of answers: 1), answers: [0.8333333333333334]
 -16   39   (number of answers: 1), answers: [2.4375]
  18  -24   (number of answers: 1), answers: [1.3333333333333333]
 -20    8   16   (number of answers: 1), answers: [-2.0]
  -9   48  -72   (number of answers: 1), answers: [1.5]
 -20   11   16   (number of answers: 1), answers: [-1.4545454545454546]
  -8   72    0   (number of answers: 1), answers: [0.0]
 -40  -22  -12   (number of answers: 1), answers: [-0.5454545454545454]
   0   42  -12   (number of answers: 1), answers: [0.2857142857142857]
 -21    0    2    0   45   (number of answers: 0), answers: []
   0    0  -84    0  -22   (number of answers: 0), answers: []
   0    0  -16    0   48   (number of answers: 0), answers: []
   4    5  -22   (number of answers: 1), answers: [4.4]
 -12   -7  -42   (number of answers: 1), answers: [-6.0]
  64    9    0   (number of answers: 1), answers: [0.0]
   0    0   20    0   10   (number of answers: 0), answers: []
  34    0    0    0  -96   (number of answers: 0), answers: []
  16    0  -36    0   36   (number of answers: 0), answers: []
   0  -48  -24   (number of answers: 1), answers: [-0.5]
 -11    0   72   (number of answers: 0), answers: []
   2   -8   28   (number of answers: 1), answers: [3.5]
 -22    0    6    0    0   (number of answers: 1), answers: [0.0]
   0    0   40    0  -24   (number of answers: 0), answers: []
  -8    0  -57    0   -2   (number of answers: 0), answers: []
 -13   18   (number of answers: 1), answers: [1.3846153846153846]
   0  -66   (number of answers: 0), answers: []
  -4   -2   (number of answers: 1), answers: [-0.5]
  54   76   (number of answers: 1), answers: [-1.4074074074074074]
   0    0    0    0  -76   (number of answers: 0), answers: []
 -92    0  -15    0    8   (number of answers: 0), answers: []
 -34    0  -88    0    0   (number of answers: 1), answers: [0.0]
  23    0   11    0    0   (number of answers: 1), answers: [0.0]
  42    0  -42    0  -36   (number of answers: 0), answers: []
   0    0   68    0   -8   (number of answers: 0), answers: []
   8    0  -42    0  -12   (number of answers: 0), answers: []
  36    0   13    0    0   (number of answers: 1), answers: [0.0]
   0    0    0    0   75   (number of answers: 0), answers: []
   0  -21   (number of answers: 0), answers: []
  30    6   (number of answers: 1), answers: [-0.2]
   0   -5    2   (number of answers: 1), answers: [0.4]
   0  -12   -3   (number of answers: 1), answers: [-0.25]
  -2   16    5   (number of answers: 1), answers: [-0.3125]
   8    0   (number of answers: 1), answers: [0.0]
  96   -8   (number of answers: 1), answers: [0.08333333333333333]
 -24   21   (number of answers: 1), answers: [0.875]
  -8    0   (number of answers: 1), answers: [-0.0]
 -60    0  -21    0   44   (number of answers: 0), answers: []
 -19    0   24    0   24   (number of answers: 0), answers: []
  -2    0    0    0  -19   (number of answers: 0), answers: []
  48   72   (number of answers: 1), answers: [-1.5]
   0   14   (number of answers: 0), answers: []
   0    0    0infinite number of answers
  75    0   30   (number of answers: 0), answers: []
 -39   42   24   (number of answers: 1), answers: [-0.5714285714285714]
  -9   36   (number of answers: 1), answers: [4.0]
 -12   24   (number of answers: 1), answers: [2.0]
   0   42  -28   (number of answers: 1), answers: [0.6666666666666666]
  18   -2  -12   (number of answers: 1), answers: [-6.0]
  22   12   57   (number of answers: 1), answers: [-4.75]
  66   44    0   (number of answers: 1), answers: [0.0]
 -33   51  -20   (number of answers: 1), answers: [0.39215686274509803]
   0  -72    0   (number of answers: 1), answers: [-0.0]
 -92    0    0    0   -4   (number of answers: 0), answers: []
   0    0    0    0   22   (number of answers: 0), answers: []
  36    0    0    0    0infinite number of answers
  39    0   (number of answers: 1), answers: [0.0]
 -54    0   (number of answers: 1), answers: [-0.0]
  68    0    4    0  -42   (number of answers: 0), answers: []
 -24    0   20    0    0   (number of answers: 1), answers: [0.0]
   2    0   18    0    4   (number of answers: 0), answers: []
  -8    0   23    0  100   (number of answers: 0), answers: []
  26    0   -6    0   -4   (number of answers: 0), answers: []
 -21    0    0    0    2   (number of answers: 0), answers: []
   4  -23   (number of answers: 1), answers: [5.75]
  32  -64   (number of answers: 1), answers: [2.0]
  24    0  -15    0   16   (number of answers: 0), answers: []
  12    0  -76    0   42   (number of answers: 0), answers: []
 -50    0  -25    0   66   (number of answers: 0), answers: []
  88   12   36   (number of answers: 1), answers: [-3.0]
  22  -21   56   (number of answers: 1), answers: [2.6666666666666665]
  19   40   66   (number of answers: 1), answers: [-1.65]
 -12   92   -4   (number of answers: 1), answers: [0.043478260869565216]
 -12    6   -6   (number of answers: 1), answers: [1.0]
  -6    3    0   (number of answers: 1), answers: [0.0]
 -75   68   (number of answers: 1), answers: [0.9066666666666666]
  34  -17   (number of answers: 1), answers: [0.5]
  56    0  -24    0   84   (number of answers: 0), answers: []
  -4    0  -28    0  -14   (number of answers: 0), answers: []
 -12    0   30    0    3   (number of answers: 0), answers: []
 -12   -3   (number of answers: 1), answers: [-0.25]
   0    0infinite number of answers
 -17  100   (number of answers: 1), answers: [5.882352941176471]
 -34   32   (number of answers: 1), answers: [0.9411764705882353]
   0    0infinite number of answers
 -21    0   (number of answers: 1), answers: [-0.0]
 -24   48    4   (number of answers: 1), answers: [-0.08333333333333333]
  33   15   10   (number of answers: 1), answers: [-0.6666666666666666]
 -22  -24   18   (number of answers: 1), answers: [0.75]
 -24   -3   (number of answers: 1), answers: [-0.125]
   0  -48   (number of answers: 0), answers: []
  21   57  -76   (number of answers: 1), answers: [1.3333333333333333]
 -20    0   25   (number of answers: 0), answers: []
-100   -6  -88   (number of answers: 1), answers: [-14.666666666666666]
 -24   -9   (number of answers: 1), answers: [-0.375]
   0    4   (number of answers: 0), answers: []
 -24    0    0    0   66   (number of answers: 0), answers: []
 -39    0    0    0   22   (number of answers: 0), answers: []
 -27    0  -22    0    0   (number of answers: 1), answers: [0.0]
  38    0   34    0   24   (number of answers: 0), answers: []
 -14    0   16    0    0   (number of answers: 1), answers: [0.0]
 -30    0   24    0   72   (number of answers: 0), answers: []
  -1    0   -7    0   54   (number of answers: 0), answers: []
  48    0    4    0   16   (number of answers: 0), answers: []
-100    0   21    0   96   (number of answers: 0), answers: []
  52    0   -9   (number of answers: 0), answers: []
 -21   44    4   (number of answers: 1), answers: [-0.09090909090909091]
  42   24    0   (number of answers: 1), answers: [0.0]
   0  -17   -3   (number of answers: 1), answers: [-0.17647058823529413]
  92    4    0   (number of answers: 1), answers: [0.0]
 -50    6    0   (number of answers: 1), answers: [0.0]
  34    0   60    0    0   (number of answers: 1), answers: [0.0]
  57    0    0    0   72   (number of answers: 0), answers: []
 -96    0  -50    0   18   (number of answers: 0), answers: []
  32   18   (number of answers: 1), answers: [-0.5625]
  27    9   (number of answers: 1), answers: [-0.3333333333333333]
  75    0    4    0   10   (number of answers: 0), answers: []
   0    0    0    0  -57   (number of answers: 0), answers: []
   6    0   10    0  -64   (number of answers: 0), answers: []
   8  -11   (number of answers: 1), answers: [1.375]
  23  -52   (number of answers: 1), answers: [2.260869565217391]
  63  -18  -27   (number of answers: 1), answers: [-1.5]
 -21  -75   27   (number of answers: 1), answers: [0.36]
  12  -20   72   (number of answers: 1), answers: [3.6]
  28   -8   (number of answers: 1), answers: [0.2857142857142857]
 -30    0   (number of answers: 1), answers: [-0.0]
 -57  -63    6   (number of answers: 1), answers: [0.09523809523809523]
  21    0  -57   (number of answers: 0), answers: []
  -8   50    0   (number of answers: 1), answers: [0.0]
  63   76   (number of answers: 1), answers: [-1.2063492063492063]
  44  -45   (number of answers: 1), answers: [1.0227272727272727]
   1  -25   (number of answers: 1), answers: [25.0]
   8    0   (number of answers: 1), answers: [0.0]
   0    0  -11    0   80   (number of answers: 0), answers: []
 -32    0    0    0  -60   (number of answers: 0), answers: []
 -72    0   51    0    4   (number of answers: 0), answers: []
 -14    0   20    0    8   (number of answers: 0), answers: []
  28    0   40    0  -23   (number of answers: 0), answers: []
  30    0    0    0  -42   (number of answers: 0), answers: []
   3    0   -6    0    0   (number of answers: 1), answers: [0.0]
  30    0  -33    0   21   (number of answers: 0), answers: []
 -25    0   44    0   20   (number of answers: 0), answers: []
  60  -38   84   (number of answers: 1), answers: [2.210526315789474]
  25   51   45   (number of answers: 1), answers: [-0.8823529411764706]
   7   63   15   (number of answers: 1), answers: [-0.23809523809523808]
 -57    0   28   (number of answers: 0), answers: []
 -68    0    2   (number of answers: 0), answers: []
  72  -27  -15   (number of answers: 1), answers: [-0.5555555555555556]
  12   -8   (number of answers: 1), answers: [0.6666666666666666]
  26  -21   (number of answers: 1), answers: [0.8076923076923077]
  -4    8   (number of answers: 1), answers: [2.0]
  75  -33   (number of answers: 1), answers: [0.44]
 -44    0    6    0    0   (number of answers: 1), answers: [0.0]
   0    0   52    0    0   (number of answers: 1), answers: [0.0]
   8    0    0    0   40   (number of answers: 0), answers: []
  -1   80   34   (number of answers: 1), answers: [-0.425]
 -32   21    0   (number of answers: 1), answers: [0.0]
  24  -22    2   (number of answers: 1), answers: [0.09090909090909091]
  -3    0   18    0  -25   (number of answers: 0), answers: []
 -52    0   21    0    0   (number of answers: 1), answers: [0.0]
   0    0   20    0  -24   (number of answers: 0), answers: []
  -7    0  -33    0   46   (number of answers: 0), answers: []
  72    0  -56    0    0   (number of answers: 1), answers: [0.0]
   8    0    0    0   44   (number of answers: 0), answers: []
  16    0   -6    0  -16   (number of answers: 0), answers: []
  -9    0   69    0    0   (number of answers: 1), answers: [0.0]
 -39    0    8    0  -92   (number of answers: 0), answers: []
  72   -8   (number of answers: 1), answers: [0.1111111111111111]
  24    8   (number of answers: 1), answers: [-0.3333333333333333]
 -32    0    0    0    0infinite number of answers
 -12    0  -44    0  -76   (number of answers: 0), answers: []
   0    0   30    0  -56   (number of answers: 0), answers: []
   0    0  -12    0   13   (number of answers: 0), answers: []
 -42    0    0    0   80   (number of answers: 0), answers: []
   0    0  -18    0   76   (number of answers: 0), answers: []
  57    0  -16    0   36   (number of answers: 0), answers: []
  42    0  -16    0  -44   (number of answers: 0), answers: []
  13    0    0    0    0infinite number of answers
  60    0   12    0  -46   (number of answers: 0), answers: []
   0    0  -46    0    0   (number of answers: 1), answers: [0.0]
 -12    0  -22    0   50   (number of answers: 0), answers: []
   0   -8   (number of answers: 0), answers: []
  -7   19   (number of answers: 1), answers: [2.7142857142857144]
 -23   -5   (number of answers: 1), answers: [-0.21739130434782608]
   0    8   (number of answers: 0), answers: []
  16  -14   (number of answers: 1), answers: [0.875]
 -34    0   (number of answers: 1), answers: [-0.0]
  23    0    1    0  -27   (number of answers: 0), answers: []
 -40    0  -54    0    0   (number of answers: 1), answers: [0.0]
 -16    0   34    0   72   (number of answers: 0), answers: []
   4    0   17    0  -21   (number of answers: 0), answers: []
 -26    0 -100    0  -56   (number of answers: 0), answers: []
  68    0    0    0   64   (number of answers: 0), answers: []
  16  -23    0   (number of answers: 1), answers: [-0.0]
 -12    2   20   (number of answers: 1), answers: [-10.0]
 -18   -6  -16   (number of answers: 1), answers: [-2.6666666666666665]
  66    0   (number of answers: 1), answers: [0.0]
   0    0infinite number of answers
  25   17    2   (number of answers: 1), answers: [-0.11764705882352941]
   0  -36    0   (number of answers: 1), answers: [-0.0]
  -6  -16   39   (number of answers: 1), answers: [2.4375]
  12   24   (number of answers: 1), answers: [-2.0]
  -3    0   (number of answers: 1), answers: [-0.0]
  28  -19   (number of answers: 1), answers: [0.6785714285714286]
  68   72   (number of answers: 1), answers: [-1.0588235294117647]
  88    0    0    0   32   (number of answers: 0), answers: []
 -42    0   38    0    0   (number of answers: 1), answers: [0.0]
 -22    0   42    0   28   (number of answers: 0), answers: []
  34    7    6   (number of answers: 1), answers: [-0.8571428571428571]
   0  -92   -8   (number of answers: 1), answers: [-0.08695652173913043]
 100    0   42   (number of answers: 0), answers: []
  12    0   (number of answers: 1), answers: [0.0]
 -13    0   (number of answers: 1), answers: [-0.0]
   0    8   (number of answers: 0), answers: []
  19  -36   (number of answers: 1), answers: [1.894736842105263]
  -6    0   36    0  -24   (number of answers: 0), answers: []
  -4    0    6    0   56   (number of answers: 0), answers: []
  19    0    0    0    0infinite number of answers
   0    0infinite number of answers
   0   13   (number of answers: 0), answers: []
  13   18  -23   (number of answers: 1), answers: [1.2777777777777777]
 -84    6   16   (number of answers: 1), answers: [-2.6666666666666665]
 -56   23    4   (number of answers: 1), answers: [-0.17391304347826086]
 -42  -22  -21   (number of answers: 1), answers: [-0.9545454545454546]
   0    0   63   (number of answers: 0), answers: []
  76    0    0infinite number of answers
   4    0  -63    0   72   (number of answers: 0), answers: []
   0    0   40    0   76   (number of answers: 0), answers: []
   6    0    0    0  -44   (number of answers: 0), answers: []
   0    0  -44    0  100   (number of answers: 0), answers: []
 -36    0  -13    0    0   (number of answers: 1), answers: [0.0]
  84    0    0    0   -8   (number of answers: 0), answers: []
  12  -16   (number of answers: 1), answers: [1.3333333333333333]
   0    0infinite number of answers
 -21  -18   (number of answers: 1), answers: [-0.8571428571428571]
  15   12   (number of answers: 1), answers: [-0.8]
  -2    0   22    0   36   (number of answers: 0), answers: []
  33    0   42    0    0   (number of answers: 1), answers: [0.0]
   0    0   36    0    0   (number of answers: 1), answers: [0.0]
   0   88  -48   (number of answers: 1), answers: [0.5454545454545454]
  18    0  -12   (number of answers: 0), answers: []
  44   38  -28   (number of answers: 1), answers: [0.7368421052631579]
  51  -76   (number of answers: 1), answers: [1.4901960784313726]
   0  -51   (number of answers: 0), answers: []
   0    4   (number of answers: 0), answers: []
 -64  -21   (number of answers: 1), answers: [-0.328125]
  48    0  -72    0  -20   (number of answers: 0), answers: []
  36    0    0    0  -28   (number of answers: 0), answers: []
  -4    0   20    0   -9   (number of answers: 0), answers: []
